district,Postal Code
Allach-Untermenzing,80995
Allach-Untermenzing,80997
Allach-Untermenzing,80999
Allach-Untermenzing,81247
Allach-Untermenzing,81249
Altstadt-Lehel,80331
Altstadt-Lehel,80333
Altstadt-Lehel,80335
Altstadt-Lehel,80336
Altstadt-Lehel,80469
Altstadt-Lehel,80538
Altstadt-Lehel,80539
Au-Haidhausen,81541
Au-Haidhausen,81543
Au-Haidhausen,81667
Au-Haidhausen,81669
Au-Haidhausen,81671
Au-Haidhausen,81675
Au-Haidhausen,81677
Aubing-Lochhausen-Langwied,81243
Aubing-Lochhausen-Langwied,81245
Aubing-Lochhausen-Langwied,81249
Berg am Laim,81671
Berg am Laim,81673
Berg am Laim,81735
Berg am Laim,81825
Bogenhausen,81675
Bogenhausen,81677
Bogenhausen,81679
Bogenhausen,81925
Bogenhausen,81927
Bogenhausen,81929
Feldmoching-Hasenbergl,80933
Feldmoching-Hasenbergl,80935
Feldmoching-Hasenbergl,80995
Hadern,80689
Hadern,81375
Hadern,81377
Laim,80686
Laim,80687
Laim,80689
Ludwigsvorstadt-Isarvorstadt,80335
Ludwigsvorstadt-Isarvorstadt,80336
Ludwigsvorstadt-Isarvorstadt,80337
Ludwigsvorstadt-Isarvorstadt,80469
Maxvorstadt,80333
Maxvorstadt,80335
Maxvorstadt,80539
Maxvorstadt,80636
Maxvorstadt,80797
Maxvorstadt,80798
Maxvorstadt,80799
Maxvorstadt,80801
Maxvorstadt,80802
Milbertshofen-Am Hart,80807
Milbertshofen-Am Hart,80809
Milbertshofen-Am Hart,80937
Milbertshofen-Am Hart,80939
Moosach,80637
Moosach,80638
Moosach,80992
Moosach,80993
Moosach,80997
Neuhausen-Nymphenburg,80634
Neuhausen-Nymphenburg,80636
Neuhausen-Nymphenburg,80637
Neuhausen-Nymphenburg,80638
Neuhausen-Nymphenburg,80639
Obergiesing,81539
Obergiesing,81541
Obergiesing,81547
Obergiesing,81549
Pasing-Obermenzing,80687
Pasing-Obermenzing,80689
Pasing-Obermenzing,81241
Pasing-Obermenzing,81243
Pasing-Obermenzing,81245
Pasing-Obermenzing,81247
Ramersdorf-Perlach,81539
Ramersdorf-Perlach,81549
Ramersdorf-Perlach,81669
Ramersdorf-Perlach,81671
Ramersdorf-Perlach,81735
Ramersdorf-Perlach,81737
Ramersdorf-Perlach,81739
Schwabing-Freimann,80538
Schwabing-Freimann,80801
Schwabing-Freimann,80802
Schwabing-Freimann,80803
Schwabing-Freimann,80804
Schwabing-Freimann,80805
Schwabing-Freimann,80807
Schwabing-Freimann,80939
Schwabing-West,80796
Schwabing-West,80797
Schwabing-West,80798
Schwabing-West,80799
Schwabing-West,80801
Schwabing-West,80803
Schwabing-West,80804
Schwabing-West,80809
Schwanthalerhöhe,80335
Schwanthalerhöhe,80339
Sendling,80336
Sendling,80337
Sendling,80469
Sendling,81369
Sendling,81371
Sendling,81379
Sendling,81373
Sendling-Westpark,80686
Sendling-Westpark,81369
Sendling-Westpark,81373
Sendling-Westpark,81377
Sendling-Westpark,81379
Thalkirchen-Obersendling-Fürstenried-Forstenried-Solln,81379
Thalkirchen-Obersendling-Fürstenried-Forstenried-Solln,81475
Thalkirchen-Obersendling-Fürstenried-Forstenried-Solln,81476
Thalkirchen-Obersendling-Fürstenried-Forstenried-Solln,81477
Thalkirchen-Obersendling-Fürstenried-Forstenried-Solln,81479
Trudering-Riem,81735
Trudering-Riem,81825
Trudering-Riem,81827
Trudering-Riem,81829
Untergiesing-Harlaching,81543
Untergiesing-Harlaching,81545
Untergiesing-Harlaching,81547
